<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
SPFB.Si-3.19,5,20190116,183500,67040.0000000,67075.0000000,67019.0000000,67074.0000000,11487
SPFB.Si-3.19,5,20190116,184000,67074.0000000,67095.0000000,67063.0000000,67078.0000000,11447
SPFB.Si-3.19,5,20190116,184500,67078.0000000,67112.0000000,67066.0000000,67082.0000000,15066
SPFB.Si-3.19,5,20190116,191000,67094.0000000,67098.0000000,67032.0000000,67054.0000000,11180
SPFB.Si-3.19,5,20190116,191500,67054.0000000,67073.0000000,67042.0000000,67047.0000000,5347
SPFB.Si-3.19,5,20190116,192000,67047.0000000,67051.0000000,66989.0000000,66995.0000000,10971
SPFB.Si-3.19,5,20190116,192500,66995.0000000,67013.0000000,66988.0000000,67010.0000000,4300
SPFB.Si-3.19,5,20190116,193000,67009.0000000,67016.0000000,66923.0000000,66942.0000000,18032
SPFB.Si-3.19,5,20190116,193500,66944.0000000,66986.0000000,66939.0000000,66955.0000000,6004
SPFB.Si-3.19,5,20190116,194000,66955.0000000,66982.0000000,66919.0000000,66981.0000000,11579
SPFB.Si-3.19,5,20190116,194500,66984.0000000,66992.0000000,66923.0000000,66926.0000000,5822
SPFB.Si-3.19,5,20190116,195000,66924.0000000,66950.0000000,66910.0000000,66948.0000000,5833
SPFB.Si-3.19,5,20190116,195500,66947.0000000,66951.0000000,66914.0000000,66920.0000000,2859
SPFB.Si-3.19,5,20190116,200000,66919.0000000,66942.0000000,66876.0000000,66883.0000000,14659
SPFB.Si-3.19,5,20190116,200500,66887.0000000,66914.0000000,66862.0000000,66904.0000000,10368
SPFB.Si-3.19,5,20190116,201000,66902.0000000,66911.0000000,66877.0000000,66896.0000000,6044
SPFB.Si-3.19,5,20190116,201500,66896.0000000,66903.0000000,66864.0000000,66882.0000000,4048
SPFB.Si-3.19,5,20190116,202000,66880.0000000,66916.0000000,66880.0000000,66888.0000000,5422
SPFB.Si-3.19,5,20190116,202500,66885.0000000,66907.0000000,66876.0000000,66891.0000000,3495
SPFB.Si-3.19,5,20190116,203000,66892.0000000,66914.0000000,66889.0000000,66903.0000000,3496
SPFB.Si-3.19,5,20190116,203500,66903.0000000,66910.0000000,66887.0000000,66905.0000000,1769
SPFB.Si-3.19,5,20190116,204000,66904.0000000,66911.0000000,66882.0000000,66895.0000000,3758
SPFB.Si-3.19,5,20190116,204500,66895.0000000,66940.0000000,66881.0000000,66935.0000000,4602
SPFB.Si-3.19,5,20190116,205000,66937.0000000,66959.0000000,66934.0000000,66955.0000000,3537
SPFB.Si-3.19,5,20190116,205500,66957.0000000,66959.0000000,66925.0000000,66927.0000000,1720
