<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
SPFB.Eu-3.19,5,20190116,124000,77210.0000000,77214.0000000,77173.0000000,77184.0000000,478
SPFB.Eu-3.19,5,20190116,124500,77180.0000000,77197.0000000,77168.0000000,77175.0000000,776
SPFB.Eu-3.19,5,20190116,125000,77173.0000000,77196.0000000,77158.0000000,77193.0000000,139
SPFB.Eu-3.19,5,20190116,125500,77193.0000000,77198.0000000,77172.0000000,77182.0000000,663
SPFB.Eu-3.19,5,20190116,130000,77180.0000000,77224.0000000,77176.0000000,77184.0000000,255
SPFB.Eu-3.19,5,20190116,130500,77201.0000000,77225.0000000,77193.0000000,77225.0000000,481
SPFB.Eu-3.19,5,20190116,131000,77225.0000000,77229.0000000,77195.0000000,77200.0000000,763
SPFB.Eu-3.19,5,20190116,131500,77196.0000000,77200.0000000,77157.0000000,77163.0000000,119
SPFB.Eu-3.19,5,20190116,132000,77161.0000000,77177.0000000,77153.0000000,77164.0000000,213
SPFB.Eu-3.19,5,20190116,132500,77160.0000000,77191.0000000,77154.0000000,77191.0000000,242
SPFB.Eu-3.19,5,20190116,133000,77187.0000000,77210.0000000,77185.0000000,77193.0000000,297
SPFB.Eu-3.19,5,20190116,133500,77197.0000000,77204.0000000,77156.0000000,77166.0000000,192
SPFB.Eu-3.19,5,20190116,134000,77161.0000000,77166.0000000,77134.0000000,77160.0000000,107
SPFB.Eu-3.19,5,20190116,134500,77160.0000000,77160.0000000,77132.0000000,77132.0000000,182
SPFB.Eu-3.19,5,20190116,135000,77139.0000000,77176.0000000,77139.0000000,77149.0000000,156
SPFB.Eu-3.19,5,20190116,135500,77152.0000000,77172.0000000,77152.0000000,77162.0000000,69
SPFB.Eu-3.19,5,20190116,140000,77165.0000000,77173.0000000,77138.0000000,77156.0000000,157
SPFB.Eu-3.19,5,20190116,141000,77155.0000000,77186.0000000,77135.0000000,77176.0000000,352
SPFB.Eu-3.19,5,20190116,141500,77179.0000000,77188.0000000,77156.0000000,77169.0000000,247
SPFB.Eu-3.19,5,20190116,142000,77177.0000000,77180.0000000,77144.0000000,77151.0000000,134
SPFB.Eu-3.19,5,20190116,142500,77152.0000000,77154.0000000,77116.0000000,77131.0000000,398
SPFB.Eu-3.19,5,20190116,143000,77135.0000000,77152.0000000,77109.0000000,77109.0000000,290
SPFB.Eu-3.19,5,20190116,143500,77107.0000000,77121.0000000,77083.0000000,77092.0000000,165
SPFB.Eu-3.19,5,20190116,144000,77088.0000000,77102.0000000,77086.0000000,77088.0000000,170
SPFB.Eu-3.19,5,20190116,144500,77093.0000000,77097.0000000,77066.0000000,77070.0000000,808
SPFB.Eu-3.19,5,20190116,145000,77071.0000000,77075.0000000,77014.0000000,77014.0000000,598
SPFB.Eu-3.19,5,20190116,145500,77020.0000000,77055.0000000,77005.0000000,77044.0000000,444
SPFB.Eu-3.19,5,20190116,150000,77044.0000000,77067.0000000,77037.0000000,77037.0000000,490
SPFB.Eu-3.19,5,20190116,150500,77037.0000000,77053.0000000,77032.0000000,77040.0000000,94
SPFB.Eu-3.19,5,20190116,151000,77049.0000000,77061.0000000,77046.0000000,77061.0000000,76
SPFB.Eu-3.19,5,20190116,151500,77061.0000000,77081.0000000,77058.0000000,77076.0000000,184
SPFB.Eu-3.19,5,20190116,152000,77079.0000000,77085.0000000,77076.0000000,77082.0000000,140
SPFB.Eu-3.19,5,20190116,152500,77073.0000000,77081.0000000,77046.0000000,77046.0000000,499
SPFB.Eu-3.19,5,20190116,153000,77044.0000000,77044.0000000,77009.0000000,77018.0000000,468
SPFB.Eu-3.19,5,20190116,153500,77018.0000000,77029.0000000,77000.0000000,77015.0000000,985
SPFB.Eu-3.19,5,20190116,154000,77015.0000000,77019.0000000,77007.0000000,77010.0000000,162
SPFB.Eu-3.19,5,20190116,154500,77016.0000000,77047.0000000,77000.0000000,77046.0000000,337
