<TICKER>	<PER>	<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<VOL>	<INDEX>
SPFB.Si-3.18	5	20171221	180000	59880	59880	59880	59880	1	63
SPFB.Si-3.18	5	20171221	180500	59891	59891	59866	59866	6	64
SPFB.Si-3.18	5	20171221	181000	59856	59906	59856	59905	15	65
SPFB.Si-3.18	5	20171221	181500	59903	59913	59903	59913	6	66
SPFB.Si-3.18	5	20171221	182000	59896	59896	59896	59896	6	67
SPFB.Si-3.18	5	20171221	182500	59884	59884	59884	59884	3	68
SPFB.Si-3.18	5	20171221	183000	59879	59879	59879	59879	1	69
SPFB.Si-3.18	5	20171221	184000	59892	59892	59892	59892	5	70
SPFB.Si-3.18	5	20171221	184500	59865	59865	59862	59862	10	71
SPFB.Si-3.18	5	20171221	191000	59916	59938	59916	59938	4	72
SPFB.Si-3.18	5	20171221	192000	59950	59953	59943	59950	4	73
SPFB.Si-3.18	5	20171221	193000	59898	59933	59898	59933	4	74
SPFB.Si-3.18	5	20171221	193500	59941	59941	59941	59941	1	75
SPFB.Si-3.18	5	20171221	195000	59941	59943	59941	59943	9	76
SPFB.Si-3.18	5	20171221	200000	59950	59950	59950	59950	1	77
SPFB.Si-3.18	5	20171221	201500	59958	59958	59958	59958	1	78
SPFB.Si-3.18	5	20171221	203500	59912	59912	59902	59902	23	79
SPFB.Si-3.18	5	20171221	205500	59905	59905	59902	59902	13	80
SPFB.Si-3.18	5	20171221	210000	59928	59928	59914	59914	10	81
SPFB.Si-3.18	5	20171221	215500	59875	59875	59873	59874	12	82
SPFB.Si-3.18	5	20171221	220000	59871	59871	59871	59871	1	83
SPFB.Si-3.18	5	20171221	223000	59860	59860	59860	59860	4	84
SPFB.Si-3.18	5	20171222	100500	59849	59849	59707	59707	39	85
SPFB.Si-3.18	5	20171222	101000	59728	59742	59728	59738	8	86
SPFB.Si-3.18	5	20171222	101500	59738	59738	59698	59710	40	87
SPFB.Si-3.18	5	20171222	103500	59713	59743	59713	59720	67	88
SPFB.Si-3.18	5	20171222	104000	59714	59725	59678	59678	90	89
SPFB.Si-3.18	5	20171222	104500	59671	59673	59670	59672	43	90
SPFB.Si-3.18	5	20171222	105000	59673	59697	59673	59681	57	91
SPFB.Si-3.18	5	20171222	105500	59680	59682	59680	59682	6	92
SPFB.Si-3.18	5	20171222	110000	59684	59689	59630	59637	39	93
SPFB.Si-3.18	5	20171222	110500	59643	59643	59600	59602	93	94
SPFB.Si-3.18	5	20171222	111000	59591	59609	59566	59609	1025	95
SPFB.Si-3.18	5	20171222	112000	59610	59645	59610	59645	63	96
SPFB.Si-3.18	5	20171222	112500	59646	59652	59645	59652	49	97
SPFB.Si-3.18	5	20171222	113500	59653	59653	59653	59653	2	98
SPFB.Si-3.18	5	20171222	114500	59649	59649	59648	59648	6	99
SPFB.Si-3.18	5	20171222	115000	59640	59640	59640	59640	3	100
SPFB.Si-3.18	5	20171222	115500	59660	59660	59660	59660	1	101
SPFB.Si-3.18	5	20171222	120000	59650	59650	59650	59650	1	102
SPFB.Si-3.18	5	20171222	120500	59651	59670	59647	59647	9	103
SPFB.Si-3.18	5	20171222	121000	59667	59667	59667	59667	1	104
SPFB.Si-3.18	5	20171222	121500	59673	59673	59673	59673	3	105
SPFB.Si-3.18	5	20171222	122000	59656	59676	59656	59675	21	106
SPFB.Si-3.18	5	20171222	123000	59690	59691	59690	59691	2	107
SPFB.Si-3.18	5	20171222	123500	59695	59698	59695	59698	12	108
SPFB.Si-3.18	5	20171222	124000	59670	59679	59670	59679	11	109
SPFB.Si-3.18	5	20171222	124500	59670	59696	59670	59696	18	110
SPFB.Si-3.18	5	20171222	125000	59704	59706	59684	59684	14	111
SPFB.Si-3.18	5	20171222	125500	59710	59734	59701	59701	53	112
SPFB.Si-3.18	5	20171222	130000	59696	59717	59695	59695	13	113
SPFB.Si-3.18	5	20171222	130500	59693	59700	59673	59683	11	114
SPFB.Si-3.18	5	20171222	131000	59666	59666	59662	59662	2	115
SPFB.Si-3.18	5	20171222	131500	59659	59659	59642	59642	10	116
SPFB.Si-3.18	5	20171222	132000	59640	59669	59640	59669	893	117
SPFB.Si-3.18	5	20171222	132500	59663	59665	59658	59664	19	118
SPFB.Si-3.18	5	20171222	133000	59650	59650	59650	59650	2	119
SPFB.Si-3.18	5	20171222	134000	59681	59681	59650	59650	123	120
SPFB.Si-3.18	5	20171222	134500	59643	59650	59643	59650	52	121
SPFB.Si-3.18	5	20171222	135500	59665	59665	59661	59661	5	122
SPFB.Si-3.18	5	20171222	141000	59667	59672	59667	59672	11	123
SPFB.Si-3.18	5	20171222	142000	59675	59675	59675	59675	2	124
SPFB.Si-3.18	5	20171222	143000	59694	59694	59680	59680	5	125
SPFB.Si-3.18	5	20171222	143500	59699	59699	59665	59665	7	126
SPFB.Si-3.18	5	20171222	144500	59693	59694	59686	59687	12	127
SPFB.Si-3.18	5	20171222	145000	59671	59690	59671	59671	5	128
SPFB.Si-3.18	5	20171222	150500	59663	59663	59663	59663	3	129
SPFB.Si-3.18	5	20171222	151000	59678	59681	59678	59678	11	130
SPFB.Si-3.18	5	20171222	152500	59695	59695	59695	59695	1	131
SPFB.Si-3.18	5	20171222	153000	59695	59702	59695	59702	16	132
SPFB.Si-3.18	5	20171222	154000	59705	59715	59695	59695	11	133
SPFB.Si-3.18	5	20171222	154500	59685	59691	59680	59680	6	134
SPFB.Si-3.18	5	20171222	155000	59710	59717	59710	59717	9	135
SPFB.Si-3.18	5	20171222	155500	59690	59696	59681	59688	24	136
SPFB.Si-3.18	5	20171222	160500	59699	59701	59699	59701	4	137
SPFB.Si-3.18	5	20171222	161000	59678	59678	59659	59659	21	138
SPFB.Si-3.18	5	20171222	162500	59668	59668	59668	59668	3	139
SPFB.Si-3.18	5	20171222	163000	59683	59693	59683	59693	159	140
SPFB.Si-3.18	5	20171222	163500	59698	59699	59698	59699	2	141
SPFB.Si-3.18	5	20171222	164500	59685	59685	59685	59685	1	142
SPFB.Si-3.18	5	20171222	170500	59675	59685	59670	59685	17	143
SPFB.Si-3.18	5	20171222	171000	59665	59665	59665	59665	1	144
SPFB.Si-3.18	5	20171222	172500	59667	59688	59665	59688	21	145
SPFB.Si-3.18	5	20171222	175500	59662	59662	59653	59653	123	146
SPFB.Si-3.18	5	20171222	180000	59663	59664	59653	59653	38	147
SPFB.Si-3.18	5	20171222	180500	59654	59699	59654	59673	9	148
SPFB.Si-3.18	5	20171222	181500	59715	59719	59715	59719	3	149
SPFB.Si-3.18	5	20171222	182000	59722	59722	59722	59722	1	150
